STUDENT CODE,PAPER,CUES USED,DOI,MODALITY,,,REPRESENTATION,,,,DIMENSIONALITY,REFERENCE FRAME,,,TRIGGER,CONVEYED INFO,,,,,PURPOSE,,PHASES,MARKEDNESS,DOMAIN,STRONGEST RESPONSE,MEASURES,TAKEAWAYS,# OF SUBJECTS,EXTRA,,
,,3D Wireframe,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,MR Simulation,"Movable Silhouettes had the strongest response, showing the greatest improvement in depth perception accuracy. It had the highest error optimization rate (41.25%).","Depth Perception Error, Z1, Z2 Error Values, Rotation and Pitch Errors","Helped improve vertical depth perception, but error correction decreased at greater distances.",25,,,
,,Movable Silhouettes,,Visual,,,Captured,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,MR Simulation,"Movable Silhouettes had the strongest response, showing the greatest improvement in depth perception accuracy. It had the highest error optimization rate (41.25%).","Depth Perception Error, Z1, Z2 Error Values, Rotation and Pitch Errors",Best performing cue; least affected by viewing distance and had the most consistent accuracy improvement.,25,,,
48 - Jalynn,Visual Hints for Tangible Gestures in Augmented Reality,Text  ,https://doi.org/10.1109/ISMAR.2007.4538824,Visual,,,Alphanumeric,,,,2,Headcentric - Egocentric,,,Persistent,,,,,Movement,Manipulate,,Single,Overlaid,Visual hints for tangible gestures in Augmented Reality,"✅ Ghost & Animation (GA) → Best clarity, high comprehension, most preferred.","Gesture Completion Time, Gesture Accuracy, User Preference Rankings, & Comprehension Ratings","Ambiguous (words like ""reeling"" or ""twirling"" had unclear meanings). Positional issues when the fiducial was near the edge of the screen. Not effective for motion-based gestures.",7,,,
,,Diagram,,Visual,,,Captured,,,,2,Headcentric - Egocentric,,,Persistent,,,,,Movement,Manipulate,,Single,Overlaid,Visual hints for tangible gestures in Augmented Reality,"✅ Ghost & Text (GT) → Reinforces gesture names, clear motion representation.","Gesture Completion Time, Gesture Accuracy, User Preference Rankings, & Comprehension Ratings","More universal than text, but still led to 2D motion misinterpretations. Would benefit from stereo 3D or depth cues.",7,,,
,,Ghost,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,,,,Movement,Manipulate,,Single,Integrated,Visual hints for tangible gestures in Augmented Reality,⚠️ Ghost & Text & Animation (GTA) → Best detail but sometimes overwhelming.,"Gesture Completion Time, Gesture Accuracy, User Preference Rankings, & Comprehension Ratings","Clearly showed motion, but ""dog chasing tail"" effect made it confusing. Fixed-position ghosts could improve usability.",7,,,
,,Animation,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,,,,Movement,Manipulate,,Single,Integrated,Visual hints for tangible gestures in Augmented Reality,❌ Text & Diagram alone → Least effective due to ambiguity and misinterpretations.,"Gesture Completion Time, Gesture Accuracy, User Preference Rankings, & Comprehension Ratings","Resolved directionality issues, but users sometimes took speed too literally. Better than static diagrams, but not as good as combined methods.",7,,,
,,Ghost & Animation,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,,,,Movement,Manipulate,Gesture,Single,Integrated,Visual hints for tangible gestures in Augmented Reality,"✅ Ghost & Animation (GA) → Best clarity, high comprehension, most preferred.","Gesture Completion Time, Gesture Accuracy, User Preference Rankings, & Comprehension Ratings",Ranked highest in preference. Clearly communicated movement and directionality.,7,,,
,,Ghost & Text,,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,,,Persistent,,,,,Movement,Manipulate,Gesture,Single,Integrated,Visual hints for tangible gestures in Augmented Reality,"✅ Ghost & Text (GT) → Reinforces gesture names, clear motion representation.","Gesture Completion Time, Gesture Accuracy, User Preference Rankings, & Comprehension Ratings",Ranked second highest. Helped reinforce gesture names. Useful when paired with known gestures.,7,,,
,,Ghost & Text & Animation,,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,,,Persistent,,,,,Movement,Manipulate,Gesture,Single,Integrated,Visual hints for tangible gestures in Augmented Reality,⚠️ Ghost & Text & Animation (GTA) → Best detail but sometimes overwhelming.,"Gesture Completion Time, Gesture Accuracy, User Preference Rankings, & Comprehension Ratings",Most complete but visually complex. Best for initial learning but potentially distracting.,7,,,
49 - Jalynn,Comparison of Haptic and Augmented Reality Visual Cues for Assisting Tele- manipulation,Haptic: Target Locator,https://doi.org/10.1109/ICRA46639.2022.9811669,Tactile,,,Symbolic,,,,,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Integrated,Tele-manipulation/Nursing robots,"Haptic cues were better at alerting users to constraints (e.g., avoiding collisions).","Error Rate, Task Completion, User Preference, & Workload",Haptic cues significantly reduced table collisions and were preferred for environmental awareness.,8,,,
,,Haptic: Constraint alert,,Tactile,,,Symbolic,,,,,Exocentric,,,Context,,,Proximity,,,Operate,,Single,Integrated,Tele-manipulation/Nursing robots,"Haptic cues were better at alerting users to constraints (e.g., avoiding collisions).","Error Rate, Task Completion, User Preference, & Workload","Haptic cues preferred for information needing prompt, immediate response (e.g., Constraint Alert, Grasp Confirmation).",8,,,
,,Haptic: Grasp Affordance,,Tactile,,,Symbolic,,,,,Exocentric,,,Context,,,Proximity,,,Operate,,Single,Integrated,Tele-manipulation/Nursing robots,"Haptic cues were better at alerting users to constraints (e.g., avoiding collisions).","Error Rate, Task Completion, User Preference, & Workload","Haptic cues preferred for information needing prompt, immediate response (e.g., Constraint Alert, Grasp Confirmation).",8,,,
,,Haptic: Grasp Confirmation,,Tactile,,,Symbolic,,,,,Exocentric,,,Context,,,,,Other,Operate,,Single,Integrated,Tele-manipulation/Nursing robots,"Haptic cues were better at alerting users to constraints (e.g., avoiding collisions).","Error Rate, Task Completion, User Preference, & Workload","Haptic cues preferred for information needing prompt, immediate response (e.g., Constraint Alert, Grasp Confirmation).",8,,,
,,AR Visual: Target Locator,,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,Headcentric - Egocentric,,Persistent,,Position,Proximity,,,Operate,,Single,Integrated,Tele-manipulation/Nursing robots,"AR cues were better for guiding users in precise movements (e.g., grasping and targeting).","Error Rate, Task Completion, User Preference, & Workload",AR cues significantly reduced hitting objects and helped users align grasping.,8,,,
,,AR Visual: Constraint Alert,,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,Headcentric - Egocentric,,Context,,,Proximity,,,Operate,,Single,Integrated,Tele-manipulation/Nursing robots,"AR cues were better for guiding users in precise movements (e.g., grasping and targeting).","Error Rate, Task Completion, User Preference, & Workload","AR visual cues preferred for continuous system monitoring (e.g., Target Locator, Grasp Affordance).",8,,,
,,AR Visual: Grasp Affordance,,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,Headcentric - Egocentric,,Context,,,Proximity,,,Operate,,Single,Integrated,Tele-manipulation/Nursing robots,"AR cues were better for guiding users in precise movements (e.g., grasping and targeting).","Error Rate, Task Completion, User Preference, & Workload","AR visual cues preferred for continuous system monitoring (e.g., Target Locator, Grasp Affordance).",8,,,
,,AR Visual: Grasp Confirmation,,Visual,,,Symbolic,Alphanumeric,,,2,Exocentric,Headcentric - Egocentric,,Context,,,,,Other,Operate,,Single,Overlaid,Tele-manipulation/Nursing robots,"AR cues were better for guiding users in precise movements (e.g., grasping and targeting).","Error Rate, Task Completion, User Preference, & Workload","AR visual cues preferred for continuous system monitoring (e.g., Target Locator, Grasp Affordance).",8,,,
50 - Jalynn,Visual Search in Augmented Reality: Effect of Target Cue Type and Location,Arrow,https://doi.org/10.1177/1071181322661260,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,,,,,Select,,Single,Overlaid,"Search & Rescue, Military","Most effective cue overall (fastest response time, lowest error rate)",Response Time & Percent Error,"Arrow Cue: Most effective due to direct spatial guidance, minimal clutter.",25,,,
,,Icon,,Visual,,,Replica,,,,3,Headcentric - Egocentric,,,Persistent,,,,,Other,Select,,Single,Integrated,"Search & Rescue, Military",Less effective than arrow and minimap (users took longer to find objects),Response Time & Percent Error,Icon Cue: Least effective because it provided only appearance information without location guidance.,25,,,
,,Minimap,,Visual,,,Symbolic,Characterized,,,2,Bodycentric - Egocentric,Exocentric,,Persistent,,Position,Proximity,,,Select,,Single,Overlaid,"Search & Rescue, Military","More effective than the icon cue, but clutter caused some issues.",Response Time & Percent Error,Minimap Cue: More effective than the icon due to location guidance but suffered from clutter.,25,,,
51 - Jalynn,Augmented Reality Target Finding Based on Tactile Cues,On the Target Cue,https://doi.org/10.1145/1647314.1647383,Tactile,,,Symbolic,,,,,Bodycentric - Egocentric,,,Context,,,Proximity,,,Select,,Single,Integrated,Augmented Reality Target Finding,On-the-Target Cue,"Task Time, Scanning Velocity, Number of Overshoots, Extra Button Presses, & Target Selection Accuracy ","Participants identified targets efficiently, but performance varied with scanning velocity. The cue was clearly distinguishable, leading to fewer errors.",8,,,
,,Close to Target Cue,,Tactile,,,Symbolic,,,,,Bodycentric - Egocentric,,,Context,,,Proximity,,,Discover,,Single,Integrated,Augmented Reality Target Finding,On-the-Target Cue,"Task Time, Scanning Velocity, Number of Overshoots, Extra Button Presses, & Target Selection Accuracy ","This cue was sometimes confusing, leading to extra button presses. It was most beneficial for finding distant targets but slightly hindered near-target detection.",8,,,
52 - Jalynn,Pictorial Depth Cues for Outdoor Augmented Reality,Shadow Planes,https://doi.org/10.1109/ISWC.2005.41,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Integrated,AR Depth Estimation,"Relative Case: Top-Down View performed best, significantly reducing errors.","Distance Estimation Accuracy, Time Taken to Place Annotation, User Preference, & Ease of Use Perception",Helpful but had visibility issues in bright outdoor environments. Provided absolute distance information with tick marks.,19,,,
,,Top-Down View,,Visual,,,Characterized,Alphanumeric,,,2,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Overlaid,AR Depth Estimation,"Absolute Case: There was no statistically significant difference, but Top-Down View and Shadow Planes performed slightly better than others.","Distance Estimation Accuracy, Time Taken to Place Annotation, User Preference, & Ease of Use Perception","Most preferred cue. Provided a clear relative positioning of the cursor. Most effective in the relative case, particularly for near objects.",19,,,
,,Color Encoded Markers,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Integrated,AR Depth Estimation,"Relative Case: Top-Down View performed best, significantly reducing errors.","Distance Estimation Accuracy, Time Taken to Place Annotation, User Preference, & Ease of Use Perception",Performed well and took minimal screen space. Effective for conveying relative depth. Less effective for absolute distance placement.,19,,,
,,Size Only,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Integrated,AR Depth Estimation,"Absolute Case: There was no statistically significant difference, but Top-Down View and Shadow Planes performed slightly better than others.","Distance Estimation Accuracy, Time Taken to Place Annotation, User Preference, & Ease of Use Perception",Performed the worst. Users struggled to estimate depth using only the cursor size.,19,,,
